33467,255,Wilkinson,Gerris,49,SR,LB
33480,255,Tarquinio,Gavin,84,SR,TE
33489,255,Honeycutt,Brad,72,SR,OL
33496,255,Bilbo,Damarius,8,SR,WR
33498,255,Besirevic,Salih,76,SR,OL
33503,255,Henderson,Eric,56,SR,DL
33507,255,Billy,Omar,99,SR,DL
33679,277,Rhode,Jeffrey,10,SR,QB
33681,277,Peters,Leonard,42,SR,DB
33686,277,Broadway,Lamar,22,SR,DB
33699,277,Hogan,Omega,36,SR,DB
33701,277,Kamakawiwo`ole,Kila,1A,SR,DL
33703,277,Ilaoa,Nate,4,SR,RB
33715,277,Curnan,Ikaika,51,SR,LB
33736,277,Eaton,Brandon,66,SR,OL
34038,301,Cooper,James,25,SR,DB
34045,301,Kleckner,Kyle,10,SR,DB
34047,301,Weatherford,Steve,37,SR,P
34063,301,Schnettgoecke,Kyle,72,SR,OL
34087,301,Jones,Kendrick,84,SR,WR
34096,301,Matha,Ryan,97,SR,DL
34117,306,Jones,Damien,6,SR,DB
34118,306,Lumpkin,Will,4,SR,DB
34124,306,Clency,Courtney,20,SR,DB
34125,306,Larkins,Buster,8,SR,DB
34131,306,Washington,Yamar,33,SR,RB
34137,306,Hatcher,Brandon,73,SR,OL
34138,306,Sowells,Isaac,76,SR,OL
34142,306,Adeyanju,Victor,94,SR,DL
34196,311,Paris,Steve,8,SR,DB
34202,311,Blankenship,Troy,17,SR,P
34219,311,Johnson,Cephus,43,SR,DL
34222,311,Viers,Boyd,46,SR,LB
34224,311,Schrage,Landon,49,SR,DL
34255,311,Davis,Jon,81,JR,WR
34260,311,Rasberry,Rashaad,89,SR,DL
34270,311,Moser,Nik,9,SR,LB
34592,328,Luke,Brian,14,SR,QB
34604,328,Green,Clark,30,SR,RB
34607,328,Amadi,Ronnie,17,SR,DB
34635,328,Floodman,Banks,5,SR,LB
34663,328,Allen,Tim,90,SR,DL
34699,331,Attieh,Roger,51,SR,DL
34722,331,Carter,Daniel,78,SR,OL
34730,331,Robinson,Marcus,32,SR,LB
34732,331,Mayle,Travis,17,SR,K
35123,366,Kubik,Matt,13,SR,QB
35136,366,Hamilton,Jeremy,8,SR,LB
35147,366,Lips,Aaron,64,SR,OL
35149,366,Stewart,Marcus,56,SR,OL
35162,366,King,Freddie,2,SR,WR
35321,388,Wilks,Scott,12,SR,LB
35328,388,Hargrove,Wilbur,22,SR,WR
35330,388,Smith,Willie,27,SR,DB
35337,388,Thomas,Damarcus,38,SR,DE
35354,388,Manns,Nate,6,SR,WR
35366,388,Baynes,Ryan,72,SR,OL
35375,388,Mullins,Jeff,85,SR,TE
35377,388,Thornton,Dennis,30,SR,LB
35520,414,Vogel,Tyler,84,SR,TE
35524,414,Redd,Ryan,21,SR,DB
35527,414,Nance,Martin,15,SR,WR
35528,414,Rehage,Derek,38,SR,LB
35544,414,Londot,Todd,62,SR,OL
35547,414,Glavin,John,65,SR,DL
35558,414,Kracium,Mark,75,SR,OL
35562,414,Bunce,Nate,79,SR,OL
35563,414,Betts,Josh,8,SR,QB
35568,414,Tyler,Dan,89,SR,TE
