10108,2015-10-24,31,37,6,W,54-46,2,4
10109,2015-10-31,31,695,6,W,63-28,3,4
10110,2015-11-21,31,430,6,L,50-51,6,4
10111,2016-09-03,31,366,6,W,21-20,0,0
10112,2016-09-17,31,670,6,W,42-3,2,0
10113,2016-10-01,31,17,8,W,52-10,3,1
10114,2016-10-08,31,8,6,L,30-49,4,1
10115,2016-10-15,31,430,6,W,34-30,4,2
10116,2016-11-05,31,235,6,W,31-10,5,3
10117,2016-11-12,31,365,6,L,10-38,6,3
10118,2017-08-31,31,228,8,W,49-7,0,0
10119,2017-09-09,31,698,6,L,7-28,1,0
10120,2017-09-30,31,472,6,W,42-24,1,2
10121,2017-10-21,31,37,6,L,20-52,2,4
10122,2017-11-04,31,149,6,W,39-38,3,5
10123,2017-11-18,31,430,6,L,21-28,4,6
10124,2018-09-01,31,201,6,W,55-20,0,0
10125,2018-09-15,31,497,6,L,17-44,1,1
10126,2018-10-06,31,8,6,L,31-65,1,4
10127,2018-10-20,31,719,6,W,23-0,1,6
10128,2018-10-27,31,736,6,L,31-45,2,6
10129,2018-11-10,31,365,6,L,17-24,2,7
10130,2000-09-16,51,428,132,L,9-34,1,0
10131,2000-09-23,51,651,132,W,28-13,1,1
10132,2000-09-30,51,311,132,L,17-31,2,1
10133,2000-10-14,51,697,132,L,0-24,2,3
10134,2000-11-04,51,521,132,L,7-56,2,6
10135,2000-11-11,51,434,132,L,22-47,2,7
10136,2001-09-08,51,30,132,W,24-3,0,0
10137,2001-09-22,51,473,132,W,16-13,1,0
10138,2001-10-13,51,463,132,L,7-48,2,2
10139,2001-10-27,51,700,132,L,19-63,2,4
10140,2001-11-03,51,703,132,L,10-49,2,5
10141,2001-11-17,51,521,132,L,22-38,2,7
10142,2001-11-24,51,659,132,W,56-12,2,8
10143,2002-09-07,51,625,132,W,50-12,0,1
10144,2002-09-21,51,719,132,W,37-25,1,2
10145,2002-10-05,51,328,132,W,35-32,2,2
10146,2002-10-12,51,697,132,L,0-41,3,2
10147,2002-10-26,51,327,132,L,10-44,3,4
10148,2002-11-16,51,521,132,L,9-49,3,7
10149,2003-08-30,51,9,132,L,19-24,0,0
10150,2003-09-13,51,663,132,W,10-7,0,2
10151,2003-09-20,51,624,132,W,27-6,1,2
10152,2003-10-04,51,157,132,W,42-30,2,2
10153,2003-10-25,51,703,132,L,0-56,3,4
10154,2003-11-08,51,700,132,L,14-62,3,6
10155,2003-11-22,51,521,132,L,21-38,3,8
10156,2004-09-10,51,670,132,W,24-17,0,1
10157,2004-09-25,51,497,132,W,37-14,1,1
10158,2004-10-09,51,434,132,L,10-30,2,2
10159,2004-10-23,51,311,132,L,25-26,2,4
10160,2004-10-30,51,697,132,W,35-34,2,5
10161,2004-11-20,51,521,132,L,0-35,3,7
10162,2005-09-10,51,625,132,W,48-24,1,0
10163,2005-10-15,51,463,132,L,14-23,4,1
10164,2005-10-29,51,700,132,L,0-28,4,3
10165,2005-11-05,51,703,132,L,0-62,4,4
10166,2005-11-19,51,521,132,W,44-34,4,6
10167,2006-09-03,51,698,132,L,7-17,0,0
10168,2006-09-09,51,508,132,W,47-10,0,1
10169,2006-09-23,51,725,132,L,20-27,1,2
10170,2006-09-30,51,327,132,W,17-3,1,3
10171,2006-10-21,51,328,132,W,36-35,3,4
10172,2006-10-28,51,697,132,L,21-31,4,4
10173,2006-11-18,51,521,132,L,10-36,4,7
10174,2007-09-08,51,574,132,W,42-17,0,1
10175,2007-09-15,51,670,132,W,34-27,1,1
10176,2007-10-06,51,157,132,L,23-43,3,2
10177,2007-10-20,51,703,132,L,10-31,3,4
10178,2007-11-03,51,700,132,L,7-38,3,6
10179,2007-11-17,51,521,132,L,14-45,3,8
10180,2008-08-30,51,749,132,L,13-41,0,0
10181,2008-09-06,51,508,132,W,51-6,0,1
10182,2008-09-12,51,754,132,W,45-17,1,1
10183,2008-10-04,51,521,132,L,14-49,2,2
10184,2008-10-11,51,311,132,W,38-10,2,3
10185,2008-11-01,51,434,132,L,28-31,3,5
10186,2008-11-15,51,697,132,W,41-21,3,7
10187,2009-09-19,51,164,132,L,22-30,1,0
10188,2009-09-26,51,508,132,W,68-13,1,1
10189,2009-10-03,51,331,132,W,31-15,2,1
10190,2009-10-24,51,521,132,L,7-34,3,3
10191,2009-10-31,51,463,132,L,10-20,3,4
10192,2009-11-14,51,703,132,L,13-47,4,5
10193,2010-09-04,51,624,132,W,34-3,0,0
10194,2010-09-11,51,86,132,W,34-6,1,0
10195,2010-10-02,51,328,132,W,55-7,3,1
10196,2010-10-23,51,327,132,W,47-42,5,2
10197,2010-11-13,51,697,132,L,30-42,7,3
10198,2010-11-20,51,521,132,L,24-53,7,4
10199,2011-09-02,51,698,132,W,50-48,0,0
10200,2011-09-17,51,676,132,W,48-0A,1,0
10201,2011-09-24,51,574,132,W,56-31,2,0
10202,2011-10-08,51,311,132,W,49-26,3,1
10203,2011-11-05,51,434,132,W,42-39,4,3
10204,2011-11-19,51,521,132,W,45-38,6,3
10205,2011-12-03,51,703,132,W,48-24,8,3
10206,2012-09-02,51,663,132,W,59-24,0,0
10207,2012-09-15,51,624,132,W,48-23,1,0
10208,2012-10-13,51,698,132,L,21-49,3,1
10209,2012-11-03,51,328,132,W,41-14,3,4
10210,2012-11-17,51,327,132,W,52-24,4,5
10211,2012-12-01,51,521,132,W,41-34,6,5
10212,2013-08-31,51,2915,132,W,69-3,0,0
10213,2013-09-07,51,86,132,W,70-13,1,0
10214,2013-09-21,51,498,132,W,70-7,2,0
10215,2013-10-05,51,768,132,W,73-42,3,0
10216,2013-10-19,51,311,132,W,71-7,5,0
10217,2013-11-07,51,521,132,W,41-12,7,0
10218,2013-12-07,51,703,132,W,30-10,10,1
10219,2014-08-31,51,663,151,W,45-0,0,0
10220,2014-09-06,51,508,151,W,70-6,1,0
10221,2014-10-11,51,698,151,W,61-58,5,0
10222,2014-11-01,51,328,151,W,60-14,6,1
10223,2014-11-22,51,521,151,W,49-28,8,1
10224,2014-12-06,51,327,151,W,38-27,10,1
10225,2015-09-12,51,346,151,W,66-31,1,0
10226,2015-09-26,51,574,151,W,70-17,2,0
10227,2015-10-17,51,768,151,W,62-38,5,0
10228,2015-10-24,51,311,151,W,45-27,6,0
10229,2015-11-14,51,521,151,L,34-44,8,0
10230,2015-12-05,51,703,151,L,17-23,9,2
10231,2016-09-02,51,508,151,W,55-7,0,0
10232,2016-09-10,51,663,151,W,40-13,1,0
10233,2016-09-24,51,521,151,W,35-24,3,0
10234,2016-10-15,51,328,151,W,49-7,5,0
10235,2016-11-05,51,698,151,L,22-62,6,1
10236,2016-11-19,51,327,151,L,21-42,6,3
10237,2017-09-02,51,355,151,L,45-48,0,0
10238,2017-09-09,51,706,151,L,10-17,0,1
10239,2017-09-23,51,521,151,L,41-49,0,3
10240,2017-10-21,51,768,151,L,36-38,0,6
10241,2017-10-28,51,703,151,L,7-38,0,7
10242,2017-11-18,51,311,151,L,13-23,1,9
10243,2018-09-01,51,2917,151,W,55-0,0,0
10244,2018-09-15,51,193,151,L,27-40,2,0
10245,2018-09-22,51,328,151,W,26-7,2,1
10246,2018-10-06,51,327,151,W,37-34,3,2
10247,2018-11-03,51,521,151,W,35-31,4,4
10248,2018-11-17,51,698,151,L,9-16,5,5
10249,2000-09-09,66,504,42,W,42-17,1,0
10250,2000-10-14,66,207,42,W,41-23,3,2
10251,2000-10-21,66,497,42,W,59-0,4,2
10252,2000-11-11,66,731,42,W,66-38,7,2
10253,2000-11-18,66,295,42,W,66-24,8,2
10254,2000-12-28,66,704,42,W,38-23,9,2
10255,2001-09-08,66,754,42,L,20-41,0,1
10256,2001-09-22,66,704,42,W,42-17,0,2
10257,2001-10-13,66,719,42,W,41-10,2,3
10258,2001-10-27,66,466,42,W,49-7,4,3
10259,2001-11-17,66,630,42,W,56-6,6,4
10260,2001-11-24,66,129,42,W,26-10,7,4
10261,2002-08-31,66,295,42,W,38-21,0,0
10262,2002-09-28,66,731,42,W,63-38,2,1
