911,SEC,FBS
25354,Big-12,FBS
923,WAC,FBS
5486,MWC,FBS
99001,Independent,FBS
821,ACC,FBS
905,Pac-12,FBS
827,Big-10,FBS
875,Mid-American,FBS
24312,CUSA,FBS
823,AAC,FBS
823,Big East,FBS
818,Sun Belt,FBS
